id,data,dia,mes,ano,diasemana,FeriadoNome,Feriado,Dia Util,DiaPagamento,PagamentoOutro,Evento,Clima,Centro de distribuicao,ATM,Valor
"1.000000,2010-01-01,1.000000,1.000000,2010.000000,6.000000,""Confraternizacao Universal"",1.000000,0.000000,0.000000,0.000000,3.000000,3.000000,""CD_SP_EMP"",""MQ_SP_1304"",26823.470985"
"2.000000,2010-01-02,2.000000,1.000000,2010.000000,7.000000,"""",0.000000,1.000000,0.000000,0.000000,6.000000,4.000000,""CD_SP_EMP"",""MQ_SP_1304"",26225.297427"
"3.000000,2010-01-03,3.000000,1.000000,2010.000000,1.000000,"""",0.000000,1.000000,0.000000,0.000000,6.000000,6.000000,""CD_SP_EMP"",""MQ_SP_1304"",24865.120008"
"4.000000,2010-01-04,4.000000,1.000000,2010.000000,2.000000,"""",0.000000,0.000000,0.000000,0.000000,6.000000,6.000000,""CD_SP_EMP"",""MQ_SP_1304"",23037.197505"
"5.000000,2010-01-05,5.000000,1.000000,2010.000000,3.000000,"""",0.000000,0.000000,1.000000,0.000000,2.000000,7.000000,""CD_SP_EMP"",""MQ_SP_1304"",45201.075725"
"6.000000,2010-01-06,6.000000,1.000000,2010.000000,4.000000,"""",0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,""CD_SP_EMP"",""MQ_SP_1304"",23997.584502"
"7.000000,2010-01-07,7.000000,1.000000,2010.000000,5.000000,"""",0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,""CD_SP_EMP"",""MQ_SP_1304"",23619.986599"
"8.000000,2010-01-08,8.000000,1.000000,2010.000000,6.000000,"""",0.000000,0.000000,0.000000,0.000000,5.000000,8.000000,""CD_SP_EMP"",""MQ_SP_1304"",23583.358247"
"9.000000,2010-01-09,9.000000,1.000000,2010.000000,7.000000,"""",0.000000,1.000000,0.000000,0.000000,2.000000,4.000000,""CD_SP_EMP"",""MQ_SP_1304"",25942.118485"
"10.000000,2010-01-10,10.000000,1.000000,2010.000000,1.000000,"""",0.000000,1.000000,1.000000,0.000000,1.000000,3.000000,""CD_SP_EMP"",""MQ_SP_1304"",49551.978889"
"11.000000,2010-01-11,11.000000,1.000000,2010.000000,2.000000,"""",0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,""CD_SP_EMP"",""MQ_SP_1304"",22100.009793"
"12.000000,2010-01-12,12.000000,1.000000,2010.000000,3.000000,"""",0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,""CD_SP_EMP"",""MQ_SP_1304"",21489.427082"
"13.000000,2010-01-13,13.000000,1.000000,2010.000000,4.000000,"""",0.000000,0.000000,0.000000,0.000000,6.000000,2.000000,""CD_SP_EMP"",""MQ_SP_1304"",22409.167037"
"14.000000,2010-01-14,14.000000,1.000000,2010.000000,5.000000,"""",0.000000,0.000000,0.000000,0.000000,6.000000,6.000000,""CD_SP_EMP"",""MQ_SP_1304"",23175.607356"
"15.000000,2010-01-15,15.000000,1.000000,2010.000000,6.000000,"""",0.000000,0.000000,0.000000,1.000000,2.000000,6.000000,""CD_SP_EMP"",""MQ_SP_1304"",39625.287840"
"16.000000,2010-01-16,16.000000,1.000000,2010.000000,7.000000,"""",0.000000,1.000000,0.000000,0.000000,6.000000,2.000000,""CD_SP_EMP"",""MQ_SP_1304"",26311.096683"
"17.000000,2010-01-17,17.000000,1.000000,2010.000000,1.000000,"""",0.000000,1.000000,0.000000,0.000000,5.000000,6.000000,""CD_SP_EMP"",""MQ_SP_1304"",25793.602508"
"18.000000,2010-01-18,18.000000,1.000000,2010.000000,2.000000,"""",0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,""CD_SP_EMP"",""MQ_SP_1304"",23058.012753"
"19.000000,2010-01-19,19.000000,1.000000,2010.000000,3.000000,"""",0.000000,0.000000,0.000000,0.000000,3.000000,5.000000,""CD_SP_EMP"",""MQ_SP_1304"",24447.877210"
"20.000000,2010-01-20,20.000000,1.000000,2010.000000,4.000000,"""",0.000000,0.000000,0.000000,0.000000,5.000000,6.000000,""CD_SP_EMP"",""MQ_SP_1304"",23785.945251"
"21.000000,2010-01-21,21.000000,1.000000,2010.000000,5.000000,"""",0.000000,0.000000,0.000000,0.000000,8.000000,1.000000,""CD_SP_EMP"",""MQ_SP_1304"",23615.655639"
"22.000000,2010-01-22,22.000000,1.000000,2010.000000,6.000000,"""",0.000000,0.000000,0.000000,0.000000,5.000000,6.000000,""CD_SP_EMP"",""MQ_SP_1304"",23743.148691"
"23.000000,2010-01-23,23.000000,1.000000,2010.000000,7.000000,"""",0.000000,1.000000,0.000000,0.000000,3.000000,3.000000,""CD_SP_EMP"",""MQ_SP_1304"",24121.779596"
"24.000000,2010-01-24,24.000000,1.000000,2010.000000,1.000000,"""",0.000000,1.000000,0.000000,0.000000,1.000000,4.000000,""CD_SP_EMP"",""MQ_SP_1304"",25263.421638"
"25.000000,2010-01-25,25.000000,1.000000,2010.000000,2.000000,"""",0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,""CD_SP_EMP"",""MQ_SP_1304"",21621.648250"
"26.000000,2010-01-26,26.000000,1.000000,2010.000000,3.000000,"""",0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,""CD_SP_EMP"",""MQ_SP_1304"",23285.558450"
"27.000000,2010-01-27,27.000000,1.000000,2010.000000,4.000000,"""",0.000000,0.000000,0.000000,0.000000,3.000000,5.000000,""CD_SP_EMP"",""MQ_SP_1304"",25294.375928"
"28.000000,2010-01-28,28.000000,1.000000,2010.000000,5.000000,"""",0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,""CD_SP_EMP"",""MQ_SP_1304"",23081.905788"
"29.000000,2010-01-29,29.000000,1.000000,2010.000000,6.000000,"""",0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,""CD_SP_EMP"",""MQ_SP_1304"",21174.366116"
"30.000000,2010-01-30,30.000000,1.000000,2010.000000,7.000000,"""",0.000000,1.000000,0.000000,1.000000,7.000000,5.000000,""CD_SP_EMP"",""MQ_SP_1304"",39442.968376"
"31.000000,2010-01-31,31.000000,1.000000,2010.000000,1.000000,"""",0.000000,1.000000,0.000000,0.000000,1.000000,2.000000,""CD_SP_EMP"",""MQ_SP_1304"",24811.962355"
"32.000000,2010-02-01,1.000000,2.000000,2010.000000,2.000000,"""",0.000000,0.000000,0.000000,0.000000,7.000000,6.000000,""CD_SP_EMP"",""MQ_SP_1304"",23558.426681"
"33.000000,2010-02-02,2.000000,2.000000,2010.000000,3.000000,"""",0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,""CD_SP_EMP"",""MQ_SP_1304"",26232.911860"
"34.000000,2010-02-03,3.000000,2.000000,2010.000000,4.000000,"""",0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,""CD_SP_EMP"",""MQ_SP_1304"",24961.082686"
"35.000000,2010-02-04,4.000000,2.000000,2010.000000,5.000000,"""",0.000000,0.000000,0.000000,0.000000,2.000000,7.000000,""CD_SP_EMP"",""MQ_SP_1304"",24885.817331"
"36.000000,2010-02-05,5.000000,2.000000,2010.000000,6.000000,"""",0.000000,0.000000,1.000000,0.000000,5.000000,6.000000,""CD_SP_EMP"",""MQ_SP_1304"",47453.221147"
"37.000000,2010-02-06,6.000000,2.000000,2010.000000,7.000000,"""",0.000000,1.000000,0.000000,0.000000,4.000000,0.000000,""CD_SP_EMP"",""MQ_SP_1304"",24579.461867"
